時系列,流量,流量2
1760400,35.76,17.09
1764000,35.76,17.09
1767600,35.76,17.09
1771200,35.76,17.09
1774800,34.86,17.09
1778400,34.86,17.09
1782000,35.76,16.63
1785600,35.76,16.63
1789200,35.76,16.63
1792800,35.76,17.09
1796400,35.76,17.55
1800000,34.86,17.55
1803600,34.86,17.55
1807200,34.86,17.55
1810800,34.86,17.55
1814400,33.97,17.55
1818000,33.97,17.09
1821600,34.86,17.09
1825200,34.86,17.09
1828800,33.97,17.09
1832400,33.97,16.63
1836000,33.1,16.63
1839600,33.1,16.17
1843200,33.1,16.17
1846800,33.1,15.73
1850400,33.1,15.73
1854000,33.97,16.17
1857600,33.97,16.17
1861200,34.86,16.63
1864800,35.76,17.09
1868400,36.67,17.55
1872000,40.43,19.97
1875600,47.45,23.62
1879200,71.88,29.36
1882800,93.88,34.4
1886400,98.33,48.19
1890000,98.33,52.62
1893600,101.36,124.41
1897200,110.71,138.72
1900800,120.47,142.42
1904400,117.17,133.26
1908000,113.92,119.25
1911600,112.31,109.24
1915200,109.12,99.68
1918800,104.43,93.55
1922400,99.84,86.16
1926000,95.35,81.87
1929600,92.42,76.32
1933200,88.1,73.62
1936800,85.29,72.28
1940400,86.69,69.66
1944000,92.42,67.08
1947600,98.33,68.36
1951200,105.98,69.66
1954800,112.31,70.96
1958400,115.54,72.28
1962000,117.17,73.62
1965600,117.17,72.28
1969200,117.17,69.66
1972800,115.54,65.8
1976400,113.92,64.55
1980000,112.31,64.55
1983600,110.71,60.84
1987200,107.55,60.84
1990800,105.98,59.63
1994400,104.43,57.24
1998000,102.89,57.24
2001600,102.89,57.24
2005200,104.43,57.24
2008800,107.55,57.24
2012400,113.92,59.63
2016000,125.51,63.3
2019600,141.24,69.66
2023200,161.72,77.69
2026800,215.65,95.06
2030400,287.51,114.19
2034000,369.68,136.89
2037600,458.91,148.06
2041200,522.6,163.64
2044800,561.36,175.83
2048400,608.96,233.72
2052000,666.29,258.18
2055600,670.2,260.69
2059200,650.75,243.36
2062800,608.96,221.95
2066400,564.96,205.98
2070000,519.14,197.12
2073600,478.58,179.99
2077200,446.03,169.68
2080800,414.63,163.64
2084400,387.35,144.29
2088000,363.88,142.42
2091600,343.94,138.72
2095200,324.57,126.16
2098800,305.76,124.41
2102400,290.08,115.86
2106000,274.82,112.53
2109600,262.41,109.24
2113200,250.29,102.82
2116800,238.46,98.13
2120400,226.91,93.55
2124000,217.88,90.55
2127600,209.04,86.16
2131200,198.24,83.28
2134800,191.89,77.69
2138400,183.59,77.69
2142000,177.49,73.62
2145600,171.49,70.96
2149200,165.6,68.36
2152800,159.8,67.08
2156400,154.11,63.3
2160000,148.53,62.06
2163600,144.86,59.63
2167200,141.24,57.24
2170800,135.89,54.91
2174400,132.39,54.91
2178000,128.93,53.76
2181600,125.51,51.49
2185200,122.14,49.28
2188800,120.47,48.19
2192400,117.17,47.11
2196000,113.92,44.93
2199600,110.71,45.68
2203200,107.55,44.93
2206800,105.98,43.44
2210400,102.89,42.71
2214000,101.36,41.98
2217600,98.33,41.98
2221200,98.33,41.98
2224800,96.84,40.55
2228400,96.84,40.55
2232000,96.84,39.84
2235600,98.33,39.84
2239200,99.84,39.14
2242800,104.43,39.84
2246400,107.55,41.26
2250000,105.98,41.26
2253600,102.89,40.55
2257200,99.84,39.14
2260800,96.84,38.44
2264400,95.35,37.75
2268000,95.35,37.07
2271600,93.88,37.07
2275200,93.88,35.72
2278800,96.84,36.39
2282400,107.55,36.39
2286000,135.89,37.07
2289600,139.45,40.55
2293200,137.66,41.98
2296800,135.89,41.26
2300400,134.13,40.55
2304000,134.13,39.84
2307600,134.13,39.84
2311200,132.39,40.55
2314800,128.93,40.55
2318400,130.65,40.55
2322000,132.39,39.84
2325600,130.65,40.55
2329200,128.93,39.84
2332800,127.21,39.84
2336400,125.51,39.14
2340000,123.82,39.14
2343600,123.82,38.44
2347200,122.14,37.75
2350800,120.47,37.07
2354400,118.82,37.07
2358000,117.17,37.07
2361600,113.92,36.39
2365200,113.92,35.72
2368800,110.71,36.39
2372400,109.12,35.06
2376000,107.55,35.06
2379600,105.98,35.06
2383200,105.98,35.06
2386800,104.43,35.06
2390400,105.98,35.06
2394000,107.55,35.06
2397600,105.98,34.4
2401200,102.89,35.06
2404800,101.36,34.4
2408400,98.33,34.4
2412000,98.33,34.4
2415600,98.33,50.38
2419200,96.84,49.28
2422800,95.35,46.05
2426400,93.88,44.18
2430000,90.97,42.71
2433600,89.53,41.26
2437200,88.1,39.84
2440800,86.69,39.84
2444400,85.29,38.44
2448000,85.29,38.44
2451600,90.97,41.98
2455200,98.33,41.98
2458800,96.84,44.18
2462400,95.35,45.68
2466000,93.88,47.11
2469600,92.42,51.49
2473200,93.88,52.62
2476800,95.35,65.8
2480400,98.33,81.87
2484000,101.36,93.55
2487600,107.55,95.06
2491200,112.31,99.68
2494800,112.31,99.68
2498400,112.31,99.68
2502000,110.71,96.59
2505600,107.55,90.55
2509200,105.98,90.55
2512800,104.43,83.28
2516400,102.89,80.46
2520000,101.36,79.07
2523600,99.84,77.69
2527200,98.33,74.96
2530800,96.84,70.96
2534400,95.35,68.36
2538000,93.88,67.08
2541600,92.42,64.55
2545200,92.42,63.3
2548800,90.97,62.06
2552400,89.53,58.43
2556000,88.1,57.24
2559600,86.69,54.91
2563200,85.29,53.76
2566800,83.89,52.62
2570400,82.51,50.38
2574000,81.14,49.28
2577600,79.78,48.19
2581200,78.44,46.05
2584800,78.44,45.68
2588400,77.1,44.93
2592000,75.78,44.18
2595600,75.78,43.44
2599200,74.47,42.71
2602800,73.17,41.98
2606400,71.88,41.26
2610000,71.88,40.55
2613600,70.6,39.84
2617200,69.33,39.14
2620800,69.33,38.44
2624400,68.08,37.75
2628000,66.83,37.07
2631600,66.83,37.07
2635200,65.6,37.07
2638800,64.38,36.39
2642400,63.17,35.72
2646000,63.17,34.4
2649600,60.79,35.06
2653200,58.45,33.75
2656800,58.45,33.75
2660400,58.45,33.1
2664000,57.3,32.46
2667600,56.16,31.83
2671200,56.16,31.2
2674800,56.16,31.2
